MySuper Product Name,Fund Name,Annual Return
UniSuper Balanced,Unisuper,0.004035884
Balanced,United Technologies Corporation Retirement Plan,0.0191691
Growth (MySuper),Victorian Superannuation Fund,0.010430067
Virgin Super Essentials,Virgin Superannuation,0.01516865
My WA Super,WA Local Government Superannuation Plan,0.005376154
Growth (MySuper),Water Corporation Superannuation Plan,0.007920613
BT Business MySuper,Westpac Mastertrust - Superannuation Division,0
MySuper WASF Default Option,Worsley Alumina Superannuation Fund,-0.119058263
AMG MySuper,AMG Super,0.006203991
AMP MySuper No.1,AMP Retirement Trust,0.052721309
AFLPA & AFL Industry MySuper,AMP Superannuation Savings Trust,0.045579742
AMP MySuper No.2,AMP Superannuation Savings Trust,0.034792052
Anglican National MySuper,AMP Superannuation Savings Trust,0.012734207
Australia Post MySuper,AMP Superannuation Savings Trust,0.053084077
Brookfield Australia MySuper,AMP Superannuation Savings Trust,0.022492367
CCA MySuper,AMP Superannuation Savings Trust,0.01377585
Macquarie Group MySuper,AMP Superannuation Savings Trust,0.022455993
Woolworths Group MySuper,AMP Superannuation Savings Trust,0.008464645
ANZ Staff MySuper,ANZ Australian Staff Superannuation Scheme,0.005506287
Aon MySuper,AON Master Trust,0.014062936
Asgard Employee MySuper,ASGARD Independence Plan Division Two,-0.000981547
MySuper Balanced,Australian Catholic Superannuation and Retirement Fund,0.006359326
Balanced (accumulation),Australian Ethical Retail Superannuation Fund,0.017273242
AMIST MySuper,Australian Meat Industry Superannuation Trust,0.005336577
AustralianSuper MySuper,AustralianSuper,0.00283407
IBM Super Plan MySuper,AustralianSuper,0.002834908
Komatsu Super Plan MySuper,AustralianSuper,0.002835845
MySuper (Balanced),Austsafe Superannuation Fund,0.002051981
AvSuper Growth (MySuper),AvSuper Fund,0.003824642
Betros MySuper,Betros Bros Superannuation Fund No 2,0
MySuper Default Option,BHP Billiton Superannuation Fund,-0.000602871
BOC MySuper,Boc Gases Superannuation Fund,0.00063071
BUSSQ MySuper,Building Unions Superannuation Scheme (Queensland),-0.002584648
CareSuper,Care Super,0.008432308
My Ethical Super,Christian Super,0.005387303
Club Plus Super _ MySuper,Club Plus Superannuation Scheme,0.003385448
Club MySuper,Club Super,0.007890799
Colonial First State FirstChoice Superannuation Trust,Colonial First State FirstChoice Superannuation Trust,-0.000900027
Combined Fund MySuper,Combined Super Fund,0.010151278
Accumulate Plus Balanced,Commonwealth Bank Group Super,0.002973371
Commonwealth Essential Super,Commonwealth Essential Super,0.000113752
MySuper Balanced,Concept One The Industry Superannuation Fund,0.005877749
Growth (Cbus MySuper),Construction & Building Unions Superannuation,0.00248433
Active Balanced,DuluxGroup Employees Superannuation Fund,-0.000964204
Balanced,Elphinstone Group Superannuation Fund,0.00165053
EmPlus MySuper,EmPlus Superannuation Fund,0.014349369
MySuper Balanced,Energy Industries Superannuation Scheme-Pool A,-0.003492825
MySuper,Energy Super,0.003398764
Equipsuper MySuper,equipsuper,0.007202923
MyEquitySuper,EquitySuper,0.004878155
First State Super MySuper Lifecycle,First State Superannuation Scheme,0.007012295
First Super MySuper,First Super,0.011077895
Goldman Sachs & JBWere Superannuation Fund_MySuper Product,Goldman Sachs & JBWere Superannuation Fund,0.005793245
Guild Retirement Fund (MySuper),Guild Retirement Fund,-0.001294371
Core Pool,Health Employees Superannuation Trust Australia,0.005412816
Balanced option,HOSTPLUS Superannuation Fund,-0.002258078
MySuper,IAG & NRMA Superannuation Plan,-0.005819114
Active Balanced,Incitec Pivot Employees Superannuation Fund,-0.001669479
Intrust MySuper,Intrust Super Fund,0.012916308
IOOF MySuper,IOOF Portfolio Service Superannuation Fund,-0.013717062
Kinetic Super _ Growth (MySuper),Kinetic Superannuation Fund,0.02946491
MySuper Balanced,Labour Union Co-Operative Retirement Fund,0.002558535
MySuper Balanced,legalsuper,0.003106659
LESF MySuper,LESF Super,0.008570169
Vision MySuper,Local Authorities Superannuation Fund,-0.001247031
LGIASuper MySuper Lifecycle,Local Government Superannuation Scheme,0.006074353
MySuper Age-Based Investment Strategy,Local Government Superannuation Scheme - Pool A,0.004733517
Balanced Option_MySuper Compliant,Lutheran Super,0.013148107
Moderate investment option,Maritime Super,0.002484981
max Super MySuper,Max Super Fund,0.006228374
MIESF MySuper,Meat Industry Employees Superannuation Fund,-7.74685E-05
Balanced investment option (accumulation),Media Super,-0.000568416
Mercer Santos MySuper,Mercer Super Trust,0.013208765
Mercer SmartPath,Mercer Super Trust,0.00023958
Mercer WGSP MySuper,Mercer Super Trust,0.000240648
MySuper,Mercy Super,0.001076773
Default Lifecycle,Mine Wealth and Wellbeing Superannuation Fund,0.00451743
My AutoSuper,MTAA Superannuation Fund,0.004471044
MyCatholicSuper,MyLifeMyMoney Superannuation Fund,0.005924752
NABGSF MySuper,National Australia Bank Group Superannuation Fund A,4.93324E-05
NSF MySuper,Nationwide Superannuation Fund,0.004921866
NESS MySuper,NESS Super,0.00045058
Diversified (MySuper),NGS Super,0.002853845
ANZ Smart Choice Super,OnePath Masterfund,0.0591042
ANZ Smart Choice Super_For QBE Management Services PTY LTD and their employees,OnePath Masterfund,0.058965334
Perpetual MySuper,Perpetual's Select Superannuation Fund,-0.00315011
Pitcher Retirement Plan MySuper,Pitcher Retirement Plan,0.008763489
Plum MySuper,Plum Superannuation Fund,-0.000520673
MySuper,Prime Super,0.004883948
